state,county_fips,county_name,rows,years_present,min_year,max_year,total_enrollment,min_enrollment,table1_missing_years,treatment_constructible_years,suppression_or_missing_any,drake_supplement_exclusion_flag,drake_supplement_exclusion_reason,included_drake_harmonized_sample,missing_crosswalk_flag_any,missing_current_plan_flag_any,missing_premium_flag_any,missing_county_mapping_flag_any,all_three_years,table1_complete_all_years,treatment_constructible_all_years,low_enrollment_rank,candidate_extra_if_forcing_to_2159_by_low_enrollment,candidate_discrepancy_reason
AR,05043,,3,3,2022,2024,2048.0,536.0,0,3,False,False,,True,False,False,False,False,True,True,True,729,False,included_by_current_sample_rule
AR,05045,,3,3,2022,2024,16037.0,3997.0,0,3,False,False,,True,False,False,False,False,True,True,True,1840,False,included_by_current_sample_rule
AR,05047,,3,3,2022,2024,2175.0,565.0,0,3,False,False,,True,False,False,False,False,True,True,True,763,False,included_by_current_sample_rule
AR,05049,,3,3,2022,2024,1087.0,262.0,0,3,False,False,,True,False,False,False,False,True,True,True,360,False,included_by_current_sample_rule
AR,05051,,3,3,2022,2024,14969.0,3918.0,0,3,False,False,,True,False,False,False,False,True,True,True,1821,False,included_by_current_sample_rule
AR,05053,,3,3,2022,2024,2162.0,531.0,0,3,False,False,,True,False,False,False,False,True,True,True,760,False,included_by_current_sample_rule
AR,05055,,3,3,2022,2024,4541.0,1151.0,0,3,False,False,,True,False,False,False,False,True,True,True,1278,False,included_by_current_sample_rule
AR,05057,,3,3,2022,2024,2098.0,477.0,0,3,False,False,,True,False,False,False,False,True,True,True,743,False,included_by_current_sample_rule
AR,05059,,3,3,2022,2024,3447.0,839.0,0,3,False,False,,True,False,False,False,False,True,True,True,1082,False,included_by_current_sample_rule
AR,05061,,3,3,2022,2024,1380.0,320.0,0,3,False,False,,True,False,False,False,False,True,True,True,495,False,included_by_current_sample_rule
AR,05063,,3,3,2022,2024,4006.0,1053.0,0,3,False,False,,True,False,False,False,False,True,True,True,1184,False,included_by_current_sample_rule
AR,05065,,3,3,2022,2024,1360.0,347.0,0,3,False,False,,True,False,False,False,False,True,True,True,487,False,included_by_current_sample_rule
AR,05067,,3,3,2022,2024,1245.0,286.0,0,3,False,False,,True,False,False,False,False,True,True,True,438,False,included_by_current_sample_rule
AR,05069,,3,3,2022,2024,5790.0,1315.0,0,3,False,False,,True,False,False,False,False,True,True,True,1406,False,included_by_current_sample_rule
AR,05071,,3,3,2022,2024,2254.0,567.0,0,3,False,False,,True,False,False,False,False,True,True,True,782,False,included_by_current_sample_rule
AR,05073,,3,3,2022,2024,688.0,163.0,0,3,False,False,,True,False,False,False,False,True,True,True,191,False,included_by_current_sample_rule
AR,05075,,3,3,2022,2024,1692.0,428.0,0,3,False,False,,True,False,False,False,False,True,True,True,609,False,included_by_current_sample_rule
AR,05077,,3,3,2022,2024,1128.0,237.0,0,3,False,False,,True,False,False,False,False,True,True,True,387,False,included_by_current_sample_rule
AR,05079,,3,3,2022,2024,885.0,224.0,0,3,False,False,,True,False,False,False,False,True,True,True,285,False,included_by_current_sample_rule
AR,05081,,3,3,2022,2024,1255.0,290.0,0,3,False,False,,True,False,False,False,False,True,True,True,444,False,included_by_current_sample_rule
AR,05083,,3,3,2022,2024,2145.0,509.0,0,3,False,False,,True,False,False,False,False,True,True,True,756,False,included_by_current_sample_rule
AR,05085,,3,3,2022,2024,7173.0,1906.0,0,3,False,False,,True,False,False,False,False,True,True,True,1517,False,included_by_current_sample_rule
