scope,breakdown_type,transition,state,year,entity_field,entity_id,failure_type,rows,failures,failure_rate,enrollment_in_failed_rows
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WY,2022,,,missing_crosswalk_flag,23,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WY,2022,,,missing_current_plan_flag,23,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WY,2022,,,missing_premium_flag,23,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WY,2022,,,missing_county_mapping_flag,23,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AL,2023,,,missing_previous_plan_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AL,2023,,,missing_crosswalk_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AL,2023,,,missing_current_plan_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AL,2023,,,missing_premium_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AL,2023,,,missing_county_mapping_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AR,2023,,,missing_previous_plan_flag,75,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AR,2023,,,missing_crosswalk_flag,75,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AR,2023,,,missing_current_plan_flag,75,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AR,2023,,,missing_premium_flag,75,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AR,2023,,,missing_county_mapping_flag,75,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AZ,2023,,,missing_previous_plan_flag,15,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AZ,2023,,,missing_crosswalk_flag,15,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AZ,2023,,,missing_current_plan_flag,15,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AZ,2023,,,missing_premium_flag,15,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,AZ,2023,,,missing_county_mapping_flag,15,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,DE,2023,,,missing_previous_plan_flag,3,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,DE,2023,,,missing_crosswalk_flag,3,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,DE,2023,,,missing_current_plan_flag,3,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,DE,2023,,,missing_premium_flag,3,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,DE,2023,,,missing_county_mapping_flag,3,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,FL,2023,,,missing_previous_plan_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,FL,2023,,,missing_crosswalk_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,FL,2023,,,missing_current_plan_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,FL,2023,,,missing_premium_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,FL,2023,,,missing_county_mapping_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,GA,2023,,,missing_previous_plan_flag,159,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,GA,2023,,,missing_crosswalk_flag,159,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,GA,2023,,,missing_current_plan_flag,159,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,GA,2023,,,missing_premium_flag,159,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,GA,2023,,,missing_county_mapping_flag,159,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IA,2023,,,missing_previous_plan_flag,99,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IA,2023,,,missing_crosswalk_flag,99,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IA,2023,,,missing_current_plan_flag,99,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IA,2023,,,missing_premium_flag,99,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IA,2023,,,missing_county_mapping_flag,99,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IL,2023,,,missing_previous_plan_flag,102,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IL,2023,,,missing_crosswalk_flag,102,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IL,2023,,,missing_current_plan_flag,102,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IL,2023,,,missing_premium_flag,102,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IL,2023,,,missing_county_mapping_flag,102,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IN,2023,,,missing_previous_plan_flag,92,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IN,2023,,,missing_crosswalk_flag,92,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IN,2023,,,missing_current_plan_flag,92,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IN,2023,,,missing_premium_flag,92,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,IN,2023,,,missing_county_mapping_flag,92,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,KS,2023,,,missing_previous_plan_flag,105,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,KS,2023,,,missing_crosswalk_flag,105,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,KS,2023,,,missing_current_plan_flag,105,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,KS,2023,,,missing_premium_flag,105,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,KS,2023,,,missing_county_mapping_flag,105,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,LA,2023,,,missing_previous_plan_flag,64,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,LA,2023,,,missing_crosswalk_flag,64,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,LA,2023,,,missing_current_plan_flag,64,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,LA,2023,,,missing_premium_flag,64,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,LA,2023,,,missing_county_mapping_flag,64,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MI,2023,,,missing_previous_plan_flag,83,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MI,2023,,,missing_crosswalk_flag,83,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MI,2023,,,missing_current_plan_flag,83,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MI,2023,,,missing_premium_flag,83,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MI,2023,,,missing_county_mapping_flag,83,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MO,2023,,,missing_previous_plan_flag,115,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MO,2023,,,missing_crosswalk_flag,115,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MO,2023,,,missing_current_plan_flag,115,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MO,2023,,,missing_premium_flag,115,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MO,2023,,,missing_county_mapping_flag,115,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MS,2023,,,missing_previous_plan_flag,82,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MS,2023,,,missing_crosswalk_flag,82,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MS,2023,,,missing_current_plan_flag,82,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MS,2023,,,missing_premium_flag,82,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MS,2023,,,missing_county_mapping_flag,82,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2022_to_2023,MT,2023,,,missing_previous_plan_flag,56,0,0.0,0.0
