source_group,year,file_type,source_page_url,direct_download_url,local_path,file_format,http_status,download_success,file_size_bytes,checksum_sha256,date_downloaded,notes
exchange_puf,2019,Plan ID Crosswalk PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2019/plan-id-crosswalk-puf.zip,data\raw\exchange_puf\2019\plan-id-crosswalk-puf.zip,zip,200,True,353759,2bbe8eb235222dd04f3789ca449a20276fcae3fdb44d489756dead6bfd7569cc,2026-05-26T16:39:50+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2020,Rate PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2020/rate-puf.zip,data\raw\exchange_puf\2020\rate-puf.zip,zip,200,True,12392451,c9a3e753caa63cdaf98e59e0f417fc5d58aa7d20785a9ea6870e2690422080e1,2026-05-26T16:39:53+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2020,Plan Attributes PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2020/plan-attributes-puf.zip,data\raw\exchange_puf\2020\plan-attributes-puf.zip,zip,200,True,1078339,f35aa8ef9af8436c35794639f9d75875d604acaede8fecda713986945e6871fb,2026-05-26T16:39:56+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2020,Service Area PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2020/service-area-puf.zip,data\raw\exchange_puf\2020\service-area-puf.zip,zip,200,True,61631,d3248ca613062f6322ad10c54ea31079510916668e06343907f19a1f82bb5104,2026-05-26T16:40:00+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2020,Plan ID Crosswalk PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2020/plan-id-crosswalk-puf.zip,data\raw\exchange_puf\2020\plan-id-crosswalk-puf.zip,zip,200,True,364704,427ea07a4397038b344dd532ca4c56ac91bebed2d6889e7904b245974c78cbd3,2026-05-26T16:40:02+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2021,Rate PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2021/rate-puf.zip,data\raw\exchange_puf\2021\rate-puf.zip,zip,200,True,15201799,3b3a4d13566c91f6e3fe43f444c2b09cb900ee5a64bbdee35637a816d306f516,2026-05-26T16:40:04+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2021,Plan Attributes PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2021/plan-attributes-puf.zip,data\raw\exchange_puf\2021\plan-attributes-puf.zip,zip,200,True,1167753,60518d5906b1b812dad89b272ec8d5c293fc3946611802214e663ace51a1b8d0,2026-05-26T16:40:08+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2021,Service Area PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2021/service-area-puf.zip,data\raw\exchange_puf\2021\service-area-puf.zip,zip,200,True,61611,64c1c95ddbc2bc50ce807bb6654bd5566e1484d74fd80156162e1f31bfea263c,2026-05-26T16:40:12+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2021,Plan ID Crosswalk PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2021/plan-id-crosswalk-puf.zip,data\raw\exchange_puf\2021\plan-id-crosswalk-puf.zip,zip,200,True,415281,03a2e20a3969d3f0484db7979accf6aaa8445c67ed9c0838d58a36fe358bb62a,2026-05-26T16:40:15+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2022,Rate PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2022/rate-puf.zip,data\raw\exchange_puf\2022\rate-puf.zip,zip,200,True,20041168,e802fa5606bbc280f8c078ec65d9e8496ea59413ea22a07dcd9c4d85bd870c5b,2026-05-26T16:40:18+00:00,Official CMS Exchange PUF direct URL pattern.
